link,tags,diff,submission
https://codeforces.com/problemset/problem/1981/B,"bitmasks, math",1300.0, x13525
https://codeforces.com/problemset/problem/1981/A,"brute force, greedy, math",800.0, x21984
https://codeforces.com/problemset/problem/1980/G,"bitmasks, data structures, dfs and similar, graphs, greedy, strings, trees",2300.0, x1215
https://codeforces.com/problemset/problem/1980/F2,"math, sortings",2400.0, x965
https://codeforces.com/problemset/problem/1980/F1,"data structures, math, sortings",1900.0, x3672
https://codeforces.com/problemset/problem/1980/E,"constructive algorithms, data structures, greedy, hashing, implementation, math, matrices, sortings",1600.0, x10273
https://codeforces.com/problemset/problem/1980/D,"greedy, implementation, math, number theory",1400.0, x14067
https://codeforces.com/problemset/problem/1980/C,"constructive algorithms, greedy",1300.0, x18324
https://codeforces.com/problemset/problem/1980/B,"sortings, sortings",800.0, x34152
https://codeforces.com/problemset/problem/1980/A,math,800.0, x39798
https://codeforces.com/problemset/problem/1979/F,"brute force, constructive algorithms, graphs, interactive",2900.0, x309
https://codeforces.com/problemset/problem/1979/E,"binary search, constructive algorithms, data structures, geometry, implementation, two pointers",2400.0, x1418
https://codeforces.com/problemset/problem/1979/D,"bitmasks, brute force, constructive algorithms, dp, greedy, hashing, strings",1800.0, x6478
https://codeforces.com/problemset/problem/1979/C,"binary search, combinatorics, constructive algorithms, number theory",1200.0, x18492
https://codeforces.com/problemset/problem/1979/B,"bitmasks, greedy",1000.0, x22231
https://codeforces.com/problemset/problem/1979/A,"brute force, greedy, implementation",800.0, x28785
https://codeforces.com/problemset/problem/1978/F,"data structures, dfs and similar, dsu, graphs, number theory, two pointers",2400.0, x1297
https://codeforces.com/problemset/problem/1978/E,"brute force, data structures, dp, greedy, implementation",2000.0, x3731
https://codeforces.com/problemset/problem/1978/D,"data structures, greedy, implementation, math",1600.0, x11028
https://codeforces.com/problemset/problem/1978/C,"constructive algorithms, data structures, greedy, implementation, math",1300.0, x14713
https://codeforces.com/problemset/problem/1978/B,"binary search, greedy, math, ternary search",800.0, x22057
https://codeforces.com/problemset/problem/1978/A,"constructive algorithms, greedy, sortings",800.0, x25305
https://codeforces.com/problemset/problem/1977/E,"constructive algorithms, graphs, interactive",2600.0, x660
https://codeforces.com/problemset/problem/1977/D,"bitmasks, brute force, greedy, hashing",2300.0, x1811
https://codeforces.com/problemset/problem/1977/C,"brute force, data structures, dp, greedy, math, number theory, sortings",1900.0, x6644
https://codeforces.com/problemset/problem/1977/B,"bitmasks, constructive algorithms, greedy, math",1100.0, x17454
https://codeforces.com/problemset/problem/1977/A,math,800.0, x31041
